stateId,,letter,digit,_,+,-,*,/,%,=,$,>,<,!,&,|,(,),{,},dot,;, ,\n,others,
1,,2,3,2,4,4,4,4,4,5,,6,7,8,9,10,11,11,11,11,11,11,1,1,,
2,,2,2,2,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,
3,,13,3,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,
4,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,4,4,,,,,,,,,,,,,,,
6,,,,,,,,,,4,4,,,,,,,,,,,,,,,
7,,,,,,,,,,4,4,,,,,,,,,,,,,,,
8,,,,,,,,,,4,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,4,,,,,,,,,,,
10,,,,,,,,,,,,,,,,4,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
