³ÌÐòÖÐË³Ðò,start,endSymbol,letter,digit,_,+,-,*,/,%,=,$,>,<,!,&,|,(,),{,},dot,;, ,\n,others
1,TRUE,NOT_END,6,11,6,3,3,3,3,3,9,,10,7,2,4,8,5,5,5,5,5,5,1,1,
2,FALSE,NOT_END,,,,,,,,,3,,,,,,,,,,,,,,,
3,FALSE,OP,,,,,,,,,,,,,,,,,,,,,,,,
4,FALSE,NOT_END,,,,,,,,,,,,,,3,,,,,,,,,,
5,FALSE,SE,,,,,,,,,,,,,,,,,,,,,,,,
6,FALSE,KW/IDN,6,6,6,,,,,,,,,,,,,,,,,,,,,
7,FALSE,OP,,,,,,,,,3,3,,,,,,,,,,,,,,
8,FALSE,NOT_END,,,,,,,,,,,,,,,3,,,,,,,,,
9,FALSE,OP,,,,,,,,,3,3,,,,,,,,,,,,,,
10,FALSE,OP,,,,,,,,,3,3,,,,,,,,,,,,,,
11,FALSE,INT,,11,,,,,,,,,,,,,,,,,,,,,,
