³ÌÐòÖÐË³Ðò,start,endSymbol,letter,digit,_,+,-,*,/,%,=,$,>,<,!,&,|,(,),{,},dot,;, ,\n,others
1,TRUE,NOT_END,6,11,6,3,3,3,3,3,9,0,10,7,2,4,8,5,5,5,5,5,5,1,1,0
2,FALSE,NOT_END,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,FALSE,OP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,FALSE,NOT_END,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
5,FALSE,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,FALSE,KW/IDN,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,FALSE,OP,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,FALSE,NOT_END,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
9,FALSE,OP,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,FALSE,OP,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,FALSE,INT,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
